product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Yakult 325 ml 5 Pieces,Makanan & Minuman, YAKULT adalah minuman probiotik yang dibuat dari fermentasi susu skim dan gula dengan bakteri Lactobacillus casei yangdapat ditemui dalam sistem pencernaan. Yakult bermanfaat untuk membantu menjaga kesehatan pencernaan. , Yakult bermanfaat untuk membantu menjaga kesehatan pencernaan dan menekan pertumbuhan bakteri merugikan di dalam pencernaan. ,-, Diminum langsung 
Sakura Darusyifa Sari Kurma Madu Angkak Plus Propolis Jambu Biji 470 g,Makanan & Minuman, SAKURA DARUSYIFA SARI KURMA MADU ANGKAK PLUS PROPOLIS JAMBU BIJI merupakan sari kurma yang diformulasikan dari berbagai macam herbal pilihan. Digunakan untuk memelihara kesehatan tubuh , Membantu memelihara kesehatan. ," Anak-anak : 3 kali sehari 1-2 sendok teh
Dewasa : 3 kali sehari 1-2 sendok makan ", Sebelum atau setelah makan 
Aqua Botol 600 ml,Makanan & Minuman," Air mineral berkualitas yang berasal dari sumber air pegunungan pilihan dan terlindungi. AQUA melindungi keseimbangan alami ekosistem sumber airnya sehingga kekayaan dan kealamian mineralnya terjaga. AQUA, kebaikan alam, kebaikan hidup. ", Minuman mineral untuk menjaga kesehatan ,-, Diminum langsung 
Flimty Fiber Rasa Blackcurrant 1 Sachet,Makanan & Minuman," Flimty adalah Minuman segar kaya serat bernutrisi tinggi yg membantu membersihkan saluran pencernaan, dengan cara mengikat minyak, tepung, lemak pada makanan , dan membantu membuang zat toxin pada makanan melalui BAB. "," Membantu menurunkan berat badan (pendamping program diet).
Membantu merampingkan perut.
Membantu melancarkan buang air besar (BAB).
Membantu menjaga kesehatan saluran pencernaan.
Membantu mengontrol berat badan.
Mencukupi nutrisi vitamin dan mineral untuk tubuh. "," Untuk Detox:
2 sachet per hari (1-2 jam sebelum makan) selama 7 hari. Lalu bisa dilanjutkan dengan 1 atau 2 sachet per hari untuk menjaga kesehatan.
Untuk Sehari-hari:
1 sachet per hari (1-2 jam sebelum makan malam). Segera minum Flimty sampai habis setelah di aduk/di shake sebelum mengental. "," 1 sachet Flimty dituang ke gelas berisi air putih sebanyak 150-250cc, aduk pakai sendok lalu diminum. Minumlah Flimty sebelum makan. "
